Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"39064","Freehold","207 Walworth Road, (SE17 1RL)","SOUTHWARK","GREATER LONDON","GREATER LONDON","SE17 1RL","N","","NEXT IN LINE LIMITED","02658058","Limited Company or Public Limited Company","207 Walworth Road, London SE17 1RL","","","","","","","","","","","","","","","","","","","","","02-12-1992","N"
"39143","Freehold","54 Choumert Road, Camberwell, London (SE15 4AX)","SOUTHWARK","GREATER LONDON","GREATER LONDON","SE15 4AX","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK","","Local Authority","160 Tooley Street, London SE1 2QH","PO Box 64529, London SE1P 5LX","","","","","","","","","","","","","","","","","","","","10-03-2005","N"
"39255","Freehold","64 Venner Road, London (SE26 5EL)","LEWISHAM","GREATER LONDON","GREATER LONDON","SE26 5EL","N","","64 VENNER ROAD RESIDENTS LIMITED","6959740","Limited Company or Public Limited Company","First Floor Flat, 64 Venner Road, Sydenham, London SE26 5EL","","","","","","","","","","","","","","","","","","","","","11-01-2010","N"
"40170","Freehold","26-27 Argyll Street, London","CITY OF WESTMINSTER","GREATER LONDON","GREATER LONDON","","N","","THE QUEEN'S MOST EXCELLENT MAJESTY IN RIGHT OF HER CROWN","","Corporate Body","1 St James's Market, London SW1Y 4AH","","","","","","","","","","","","","","","","","","","","","","N"
"40702","Freehold","23 Monmouth Street, London (WC2H 9DD)","CAMDEN","GREATER LONDON","GREATER LONDON","WC2H 9DD","N","","SHAFTESBURY COVENT GARDEN LIMITED","03154145","Limited Company or Public Limited Company","22 Ganton Street, Carnaby, London W1F 7FD","","","","","","","","","","","","","","","","","","","","","10-03-2005","N"
"41229","Freehold","75 Farringdon Road, London (EC1M 3HJQ)","CAMDEN","GREATER LONDON","GREATER LONDON","EC1M 3HJ","N","","BRITISH OVERSEAS BANK NOMINEES LIMITED","00220905","Limited Company or Public Limited Company","Nat West Bank Plc, 1st Floor, 250 Bishopsgate, London EC2M 4AA","Orchard Street Investment Management Llp, 16 New Burlington Place, London W1S 2HX","","W G T C NOMINEES LIMITED","01255218","Limited Company or Public Limited Company","Nat West Bank Plc, 1st Floor, 250 Bishopsgate, London EC2M 4AA","Orchard Street Investment Management Llp, 16 New Burlington Place, London W1S 2HX","","","","","","","","","","","","","","18-12-2017","N"
"41246","Freehold","78 Sumatra Road","CAMDEN","GREATER LONDON","GREATER LONDON","","N","","THE LONDON COUNTY COUNCIL","","Local Authority","The County Hall, Westminster Bridge, London SE1","","","","","","","","","","","","","","","","","","","","","08-09-1950","N"
"41299","Freehold","strips of land in Parnell Road","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","","N","","THE COUNTY COUNCIL OF THE ADMINISTRATIVE COUNTY OF LONDON","","County Council","Spring Gardens, London","","","","","","","","","","","","","","","","","","","","","","N"
"41947","Freehold","11 Sinclair Gardens, London (W14 0AU)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","W14 0AU","N","","HOUGHTON HALL CO-OWNERSHIP LIMITED","","Limited Company or Public Limited Company","16 Doughty Street, London WC1","","","","","","","","","","","","","","","","","","","","","06-12-1971","N"
"42145","Freehold","42 Oxford Street, London (W1D 1BB)","CITY OF WESTMINSTER","GREATER LONDON","GREATER LONDON","W1D 1BB","N","","PONTEGADEA UK LTD","8680673","Limited Company or Public Limited Company","West End House, 11 Hills Place, London W1F 7SE","","","","","","","","","","","","","","","","","","","","","31-10-2017","N"
"58517","Freehold","38, 40, 40a, 40b, 40c, 40d, 42, 44, 46 part of 48, 50 Long Lane, London (SE1 4AU)","SOUTHWARK","GREATER LONDON","GREATER LONDON","SE1 4AU","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK","","Local Authority","160 Tooley Street, London SE1 2QH","PO Box 64529, London SE1P 5LX","","","","","","","","","","","","","","","","","","","","17-03-2005","N"
"58803","Freehold","6, 6A, 10 and 10A Hurst Street, London (SE24 0EG)","LAMBETH","GREATER LONDON","GREATER LONDON","SE24 0EG","N","","FARMWOOD INVESTMENTS LIMITED","","Limited Company or Public Limited Company","Hillside House, 2 Friern Park, London N12","","","","","","","","","","","","","","","","","","","","","02-05-1961","N"
"59032","Leasehold","36 Church Rise","LEWISHAM","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF LEWISHAM","","Local Authority","Lewisham Town Hall, Catford, London, SE6","","","","","","","","","","","","","","","","","","","","","31-07-1951","N"
"60030","Leasehold","158 Essex Road, (N1 8LY)","ISLINGTON","GREATER LONDON","GREATER LONDON","N1 8LY","N","","WEST LAYTON LIMITED","","Limited Company or Public Limited Company","West Layton House, 48/50 St. John Street, London EC1","","","","","","","","","","","","","","","","","","","","","01-08-1973","N"
"60081","Freehold","15 Fulham High Street, Fulham, (SW6 3JH)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","SW6 3JH","N","","YATONIC LIMITED","","Limited Company or Public Limited Company","64 Lillieshall Road, London SW4","","","","","","","","","","","","","","","","","","","","","27-11-1995","N"
"60301","Freehold","436 and 438 Commercial Road, Stepney","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF TOWER HAMLETS","","Local Authority","Mulberry Place, 5 Clove Crescent, London, E14 2BG","","","","","","","","","","","","","","","","","","","","","16-12-1991","N"
"60686","Freehold","244 Seven Sisters Road Holloway","ISLINGTON","GREATER LONDON","GREATER LONDON","","N","","BRITISH RAILWAYS BOARD","","Corporate Body","24 Eversholt Street, London NW1 2DZ","","","","","","","","","","","","","","","","","","","","","15-04-1902","N"
"60820","Freehold","126 High Street, Homerton and Evangelical Hall","HACKNEY","GREATER LONDON","GREATER LONDON","","N","","LONDON AMBULANCE SERVICE NATIONAL HEALTH SERVICE TRUST","","Corporate Body","Ambulance Headquarters, 220 Waterloo Road, London SE1 8SD","","","","","","","","","","","","","","","","","","","","","02-07-1997","N"
"61248","Freehold","The Market House Public House, 30 and 32 Broadway Market, Hackney","HACKNEY","GREATER LONDON","GREATER LONDON","","N","","MARKET HOUSE LIMITED","02681693","Limited Company or Public Limited Company","Little Pixhall, High Street, Hawkhurst, Cranbrook, Kent TN18 4XT","","","","","","","","","","","","","","","","","","","","","31-08-2010","N"
"61382","Freehold","52 and 54 Mabley Street, Homerton","HACKNEY","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF HACKNEY","","Local Authority","The Town Hall, Mare Street, London E8 1EA","","","","","","","","","","","","","","","","","","","","","10-08-1972","N"
"61404","Freehold","Trinity Presbyterian Church, Kentish Town Road, St Pancras","CAMDEN","GREATER LONDON","GREATER LONDON","","N","","URC THAMES NORTH TRUST","00075432","Corporate Body","St. Paul's Bayswater, Newton Road, Bayswater, London W2 5LS","","","","","","","","","","","","","","","","","","","","","10-03-2010","N"
"61561","Freehold","Connaught Mansions, Albion Road, Stoke Newington (N16 9PB)","HACKNEY","GREATER LONDON","GREATER LONDON","N16 9PB","N","","PEABODY TRUST","7741","Community Benefit Society (Corporate Body)","45 Westminster Bridge Road, London SE1 7JB","","","","","","","","","","","","","","","","","","","","","08-06-2018","N"
"61605","Freehold","17 Dunlace Road, Lower Clapton","HACKNEY","GREATER LONDON","GREATER LONDON","","N","","NEWLON HOUSING TRUST","","Corporate Body","Newlon House, 204 Hoxton Street, London N1 5LH","","","","","","","","","","","","","","","","","","","","","12-01-1979","N"
"61608","Freehold","15 Sherriff Road, Hampstead","CAMDEN","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF CAMDEN","","Local Authority","Town Hall, Euston Road, London, NW1 2RU","","","","","","","","","","","","","","","","","","","","","12-08-1977","N"
"61653","Freehold","The Sir Robert Peel Public House, 108 Malden Road, Kentish Town (NW5 4DA)","CAMDEN","GREATER LONDON","GREATER LONDON","NW5 4DA","N","","RED STAR PUB COMPANY (WR II) LIMITED","SC202689","Limited Company or Public Limited Company","3-4 Broadway Park, South Gyle Broadway, Edinburgh EH12 9JZ","","","","","","","","","","","","","","","","","","","","","04-05-2000","N"
"61770","Freehold","land in Millfields Road, Lower Clapton, Hackney","HACKNEY","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF HACKNEY","","Local Authority","The Town Hall, Mare Street, London E8 1EA","","","","","","","","","","","","","","","","","","","","","06-06-1902","N"
"62103","Freehold","1 and 2 Britannia Court, Fulham Palace Road, Hammersmith","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF HAMMERSMITH AND FULHAM","","Local Authority","The Town Hall, King Street, Hammersmith, W6 9HP","","","","","","","","","","","","","","","","","","","","","23-06-1902","N"
"62208","Freehold","571 Manchester Road, London (E14 3NX)","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","E14 3NX","N","","FAIRHOLD HOLDINGS (2006) APPTS LTD","05380171","Limited Company or Public Limited Company","21 Palmer Street, London SW1H 0AD","","","","","","","","","","","","","","","","","","","","","05-05-2016","N"
"62335","Freehold","6, 7 and 8 Timber Street, London EC1Y 0TQ","ISLINGTON","GREATER LONDON","GREATER LONDON","EC1Y 0TQ","N","","MASH (TIMBER STREET) LIMITED","9058220","Limited Company or Public Limited Company","Unit A, Brook Park East, Shirebrook NG29 8RY","","","","","","","","","","","","","","","","","","","","","11-07-2014","N"
"62472","Freehold","7 Sands End Lane, Fulham","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","","N","","NATIONAL GRID TWENTY SEVEN LIMITED","7926596","Limited Company or Public Limited Company","1-3 Strand, London WC2N 5EH","","","","","","","","","","","","","","","","","","","","","11-01-2013","N"
"62542","Freehold","The Cricketers, Northwold Road, and office and stables adjoining, (N16 7HR)","HACKNEY","GREATER LONDON","GREATER LONDON","N16 7HR","N","","WELLINGTON PUB COMPANY PLC","3406623","Limited Company or Public Limited Company","GOSSCHALKS of Queens Gardens, Hull, HU1 3DZ","","","","","","","","","","","","","","","","","","","","","10-12-1997","N"
"62724","Freehold","167 Holland Park Avenue","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","","N","","WOMENS PIONEER HOUSING LIMITED","","Limited Company or Public Limited Company","227 Wood Lane, London, W12 0HL","","","","","","","","","","","","","","","","","","","","","01-06-1982","N"
"63030","Freehold","Land in New Kings Road, Fulham","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","","N","","JCDECAUX LIMITED","00825315","Limited Company or Public Limited Company","991 Great West Road, Brentford, Middlesex TW8 9DN","","","","","","","","","","","","","","","","","","","","","11-08-2005","N"
"63140","Freehold","39 Frognal","CAMDEN","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF CAMDEN","","Local Authority","Town Hall, Euston Road, London, NW1 2RU","","","","","","","","","","","","","","","","","","","","","26-04-1961","N"
"63171","Freehold","43 Mornington Terrace","CAMDEN","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OFCAMDEN","","Local Authority","Town Hall, Euston Road, London NW1 2RU","","","","","","","","","","","","","","","","","","","","","18-12-1975","N"
"63351","Freehold","Oldbury Court 90, Avro Court 92, Longland Court, 94 and Beresford Court 96, Mabley Street, London","HACKNEY","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF HACKNEY","","Local Authority","The Town Hall, Mare Street, London E8 1EA","","","","","","","","","","","","","","","","","","","","","10-08-1972","N"
"63388","Freehold","3 All Saints Road, Kensington","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","","N","","NOTTING HILL GENESIS","7746","Community Benefit Society (Corporate Body)","Bruce Kenrick House, Killick Street, London N1 9FL","","","","","","","","","","","","","","","","","","","","","04-05-2018","N"
"63421","Freehold","Chelsea Lodge, 58 Tite Street, London (SW3 4JD)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 4JD","N","","CONSTANTINE LAND LIMITED","334258","Limited Company or Public Limited Company","First Floor, River Court, The Old Mill Office Complex, Godalming GU7 1EZ","","","","","","","","","","","","","","","","","","","","","26-06-2014","N"
"63599","Freehold","196 Westbourne Park Road, London (W11 1EP)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W11 1EP","N","","NOTTING HILL GENESIS","7746","Community Benefit Society (Corporate Body)","Bruce Kenrick House, 2 Killick Street, London N1 9FL","","","","","","","","","","","","","","","","","","","","","03-05-2018","N"
"63798","Freehold","20 Westville Road, London (W12 9BD)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","W12 9BD","N","","NOTTING HILL GENESIS","7746","Community Benefit Society (Corporate Body)","Bruce Kenrick House, Killick Street, London N1 9FL","","","","","","","","","","","","","","","","","","","","","04-05-2018","N"
"64368","Freehold","17 Basil Street, Chelsea, London (SW3 1BA)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 1BA","N","","SEVENTEEN BASIL STREET RESIDENTS ASSOCIATION LIMITED","","Limited Company or Public Limited Company","17 Basil Street, Chelsea, London SW3 1BA","","","","","","","","","","","","","","","","","","","","","09-02-1955","N"
"64422","Freehold","Spitfire Building, 71 Collier Street, London (N1 9BE)","ISLINGTON","GREATER LONDON","GREATER LONDON","N1 9BE","N","","LONDON BUILDINGS (SPITFIRE) LIMITED","08597556","Limited Company or Public Limited Company","19 Fitzroy Square, London W1T 6EQ","","","","","","","","","","","","","","","","","","","","","07-01-2014","N"
"64556","Freehold","12 Lower Clapton Road, London (E5 0PD)","HACKNEY","GREATER LONDON","GREATER LONDON","E5 0PD","N","","BETHNON LIMITED","","Limited Company or Public Limited Company","82 Brookwood Road, Southfields, London SW18 5BY","","","","","","","","","","","","","","","","","","","","","21-10-1987","N"
"64825","Freehold","37 Mornington Terrace","CAMDEN","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OFCAMDEN","","Local Authority","Town Hall, Euston Road, London NW1 2RU","","","","","","","","","","","","","","","","","","","","","","N"
"65056","Freehold","87 Walton Street, London (SW3 2HP)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 2HP","N","6000000","JAKS HOLDINGS LIMITED","06584419","Limited Company or Public Limited Company","87-89 Walton Street, London SW3 2HP","Jubilee House, Townsend Lane, London NW9 8TZ","","","","","","","","","","","","","","","","","","","","18-12-2017","N"
"65272","Freehold","17 Kensington Park Road, London (W11 2EU)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W11 2EU","N","1400000","MILEMINSTER LIMITED","05552353","Limited Company or Public Limited Company","58 Berners Street, London W1T 3NQ","","","","","","","","","","","","","","","","","","","","","10-05-2006","N"
"65404","Freehold","1 to 5 (odd) Amhurst Road, Shacklewell and shops and dwelinghouses known as 3, 5 Amhurst Road shown and edged with red on the filed (1/8) plan No 65404","HACKNEY","GREATER LONDON","GREATER LONDON","","N","","GMS ESTATES LIMITED","","Limited Company or Public Limited Company","32 Great James Street, London, WC1N 3HB","","","","","","","","","","","","","","","","","","","","","","N"
"65550","Freehold","32 and, 32A Homerton Row, London (E9 6ED)","HACKNEY","GREATER LONDON","GREATER LONDON","E9 6ED","N","1050000","RAER KAJAINE LIVING (HOMERTON) LIMITED","09513866","Limited Company or Public Limited Company","Kajaine House, 57 High Street, Edgware HA8 7DD","","","","","","","","","","","","","","","","","","","","","14-09-2015","N"
"65581","Freehold","part of King Edward Street","CITY OF LONDON","GREATER LONDON","GREATER LONDON","","N","","THE GOVERNORS OF CHRIST'S HOSPITAL","","Corporate Body","The Counting House, Christ's Hospital, London EC","","","","","","","","","","","","","","","","","","","","","05-12-1902","N"
"65638","Freehold","13 Tadmor Street, London (W12 8AH)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","W12 8AH","N","1180000","13 TADMOR STREET LTD","10447360","Limited Company or Public Limited Company","Nuns Farm, Catmere End, Saffron Walden CB11 4XG","","","","","","","","","","","","","","","","","","","","","19-12-2016","N"
"65849","Freehold","14 and 16 Portman Place and 129 Globe Road, Stepney","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF TOWER HAMLETS","","Local Authority","Mulberry Place, 5 Clove Crescent, London, E14 2BG","","","","","","","","","","","","","","","","","","","","","11-07-1968","N"
"66139","Freehold","41 Mornington Terrace, London (NW1 7RT)","CAMDEN","GREATER LONDON","GREATER LONDON","NW1 7RT","N","","ONE HOUSING GROUP LIMITED","IP20453R","Industrial and Provident Society (Company)","100 Chalk Farm Road, London NW1 8EH","","","","","","","","","","","","","","","","","","","","","26-05-2011","N"
"66257","Freehold","Bow Road Station, Bow Road, land comprising part of Eleanor Street and land comprising part of Eagling Close, London","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","","N","","LONDON UNDERGROUND LIMITED","01900907","Limited Company or Public Limited Company","Transport for London, 55 Broadway, London SW1H 0BD","","","","","","","","","","","","","","","","","","","","","23-10-2008","N"
"66378","Freehold","1 Fortnam Road, London (N19 3NS)","ISLINGTON","GREATER LONDON","GREATER LONDON","N19 3NS","N","","FINSBURY PARK HOUSING CO-OPERATIVE LIMITED","IP22007R","Limited Company or Public Limited Company","12 Pine Grove, London N4 3LL","","","","","","","","","","","","","","","","","","","","","08-06-1983","N"
"66682","Leasehold","Felix Houses, Block 2, Forbes Street, Stepney","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF TOWER HAMLETS","","Local Authority","Mulberry Place, 5 Clove Crescent, London E14 2BG","","","","","","","","","","","","","","","","","","","","","09-04-1974","N"
"66872","Freehold","71 Coopersale Road, London (E9 6AU)","HACKNEY","GREATER LONDON","GREATER LONDON","E9 6AU","N","","71 COOPERSALE ROAD LIMITED","09054304","Limited Company or Public Limited Company","Flat 2, 71 Coopersale Road, London E9 6AU","","","","","","","","","","","","","","","","","","","","","15-07-2014","N"
"67100","Leasehold","1, 3, 5, 7, 9 Great Church Lane, Hammersmith","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF HAMMERSMITH AND FULHAM","","Local Authority","Town Hall, King Street, Hammersmith, London W6 9HP","","","","","","","","","","","","","","","","","","","","","24-02-1903","N"
"42196","Freehold","1 and 3 Stepney Causeway and 476 and 478 Commercial Road","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF TOWER HAMLETS","","Local Authority","Mulberry Place, 5 Clove Crescent, London E14 2BG","","","","","","","","","","","","","","","","","","","","","07-10-1964","N"
"42303","Freehold","12 Weymouth Street and 4A Williams Mews","CITY OF WESTMINSTER","GREATER LONDON","GREATER LONDON","","N","","THE INCUMBENT OF THE DISTRICT RECTORY OF ST. MARYLEBONE (ALL SOULS)","","Corporate Body","Langham Place, London W1","","","","","","","","","","","","","","","","","","","","","02-03-1901","N"
"42578","Freehold","19 Ellington Street, (N7 8PN)","ISLINGTON","GREATER LONDON","GREATER LONDON","N7 8PN","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF ISLINGTON","","Local Authority","Town Hall, Upper Street, Islington, London, N1 2UD","","","","","","","","","","","","","","","","","","","","","24-12-1973","N"
"42588","Freehold","514 Hornsey Road, London (N19 3QN)","ISLINGTON","GREATER LONDON","GREATER LONDON","N19 3QN","N","150000","BIGGER & BETTER PROPERTIES LIMITED","04271951","Limited Company or Public Limited Company","New Burlington House, 1075 Finchley Road, London NW11 0PU","","","","","","","","","","","","","","","","","","","","","23-04-2002","N"
"42810","Freehold","132 Tollington Park (N4 3AD)","ISLINGTON","GREATER LONDON","GREATER LONDON","N4 3AD","N","","PEABODY TRUST","7741","Community Benefit Society (Corporate Body)","45 Westminster Bridge Road, London SE1 7JB","","","","","","","","","","","","","","","","","","","","","23-07-2018","N"
"43047","Freehold","land on the north side of Whitechapel Road and on the North and South sides of Mile End Road, Stepney, London","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","","N","","LONDON UNDERGROUND LIMITED","01900907","Limited Company or Public Limited Company","Transport for London, 55 Broadway, London SW1H 0BD","","","","","","","","","","","","","","","","","","","","","09-07-1959","N"
"43362","Freehold","13 Hogarth Place, London (SW5 0QT)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW5 0QT","N","","CHANLY PROPERTIES LIMITED","3966385","Limited Company or Public Limited Company","25a Holland Street, Kensington, London W8 4NA","","","","","","","","","","","","","","","","","","","","","21-09-2001","N"
